t,y_aprox,y_exact,error
1.0,0.0,0.0,0.0
1.2,0.2,0.22124277275763113,0.021242772757631118
1.4,0.4388888888888889,0.48968166375094263,0.05079277486205375
1.5999999999999999,0.721242756361804,0.812752740561542,0.09150998419973799
1.7999999999999998,1.0520380316573712,1.19943864032594,0.14740060866856886
1.9999999999999998,1.4372511475238394,1.661281755721567,0.2240306081977277
2.1999999999999997,1.8842608053291532,2.213501813480633,0.32924100815147983
2.4,2.402269588561542,2.8765514199948425,0.4742818314333004
2.6,3.0028371645572136,3.6784753308518447,0.6756381662946311
2.8000000000000003,3.7006007049327985,4.658665058239517,0.9580643533067188
3.0000000000000004,4.5142774281767,5.874099978184171,1.359822550007471
