t,y_aprox,y_exact,error
0.0,0.3333333333333333,0.3333333333333333,0.0
0.1,0.16666666666666666,0.2121768865708778,0.04551021990421114
0.2,0.10833333333333334,0.16262648039048078,0.05429314705714744
0.30000000000000004,0.11416666666666667,0.16437672004947662,0.050210053382809955
0.4,0.16208333333333336,0.2051117610788709,0.043028427745537556
0.5,0.2410416666666667,0.27736166620796626,0.03631999954129955
0.6,0.34552083333333333,0.3765956894559546,0.031074856122621286
0.7,0.4727604166666667,0.5000657944741062,0.027305377807439468
0.7999999999999999,0.6213802083333333,0.6461052129629113,0.02472500462957805
0.8999999999999999,0.7906901041666666,0.8137029988460805,0.02301289467941392
0.9999999999999999,0.9803450520833332,1.0022459823330283,0.021900930249695083
1.0999999999999999,1.1901725260416667,1.2113622571461544,0.02118973110448774
