t,y_aprox,y_exact,error
0.0,-2.0,-2.0,0.0
0.2,-1.8,-1.802624679775096,0.0026246797750959505
0.4,-1.608,-1.620051037744775,0.012051037744774895
0.6000000000000001,-1.4387328000000001,-1.4629504330019645,0.024217633001964334
0.8,-1.3017369739591682,-1.335963229732151,0.03422625577298288
1.0,-1.199251224666308,-1.2384058440442354,0.0391546193779273
1.2,-1.1274909449059896,-1.1663453929878447,0.03885444808185512
1.4,-1.079745355150198,-1.1146483517977375,0.034902996647539375
1.5999999999999999,-1.0491190774237251,-1.0783314455935287,0.02921236816980355
1.7999999999999998,-1.0299539832076265,-1.053193987153732,0.02324000394610537
1.9999999999999998,-1.0181518381465764,-1.035972419924183,0.017820581777606703
2.1999999999999997,-1.0109570007335658,-1.0242568699685486,0.01329986923498283
